Instante de Tempo t,Fila de pedidos,Em produção,Prontos
1,"","",""
2,"","98912",""
3,"69376, 14448","98912",""
4,"69376, 14448, 74826, 47299, 13561, 11269","98912",""
5,"69376, 14448, 74826, 47299, 13561, 11269, 78154","98912",""
6,"69376, 14448, 74826, 47299, 13561, 11269, 78154","98912",""
7,"69376, 14448, 74826, 47299, 13561, 11269, 78154, 63405","98912",""
8,"69376, 14448, 74826, 47299, 13561, 11269, 78154, 63405","98912",""
9,"69376, 14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789","98912",""
10,"69376, 14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789","98912",""
11,"69376, 14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789","98912",""
12,"69376, 14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789","98912",""
13,"69376, 14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381","98912","98912,"
14,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970","69376","98912,"
15,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970","69376","98912,"
16,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970","69376","98912,"
17,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970","69376","98912,"
18,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054","69376","98912,"
19,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064","69376","98912,"
20,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733","69376","98912,"
21,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108","69376","98912,"
22,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741","69376","98912,"
23,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741","69376","98912,"
24,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741","69376","98912,"
25,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542","69376","98912,"
26,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555","69376","98912,"
27,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555","69376","98912,"
28,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675","69376","98912,"
29,"14448, 74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005","69376","98912,69376,"
30,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968","14448","98912,69376,"
31,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968","14448","98912,69376,"
32,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201","14448","98912,69376,"
33,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201","14448","98912,69376,"
34,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201","14448","98912,69376,"
35,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221","14448","98912,69376,"
36,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265","14448","98912,69376,"
37,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923","14448","98912,69376,"
38,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624","14448","98912,69376,"
39,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270","14448","98912,69376,"
40,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270","14448","98912,69376,"
41,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717","14448","98912,69376,"
42,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717","14448","98912,69376,"
43,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273","14448","98912,69376,"
44,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808","14448","98912,69376,"
45,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902","14448","98912,69376,"
46,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426","14448","98912,69376,"
47,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426","14448","98912,69376,"
48,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426","14448","98912,69376,"
49,"74826, 47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389","14448","98912,69376,14448,"
50,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301","74826","98912,69376,14448,"
